name,description,url
Deploy buddy,Dev tooling to make chainlink services a breeze for developers,https://ethglobal.com/showcase/deploy-buddy-qr8ws
Pagar,"Paypal venmo on-chain, a registry smart contract to map aliases to wallet addresses",https://ethglobal.com/showcase/pagar-i28vt
Cabal Chat,"Social trading groups on XMTP: Create Cabals, execute swaps via chat & compete on PnL leaderboards",https://ethglobal.com/showcase/cabal-chat-vr9r3
Flare Flow,onchain llm proxy with automated bill pay we used flare to get proxy data on chain and charge!,https://ethglobal.com/showcase/flare-flow-qumiv
XMBL Stor and Comp,XMBL P2P Storage and Compute Network - Powering the XMBL Blockchain,https://ethglobal.com/showcase/xmbl-stor-and-comp-wjy3y
NeuroSwap,NeuroSwap is a decentralized liquidity and execution layer engineered for trading.,https://ethglobal.com/showcase/neuroswap-77jmd
Phaser,"Simple web3 dungeon game using Dynamic, PayPal and Opensea MCP.",https://ethglobal.com/showcase/phaser-059ee
Naughty Agents,web-of-trust reviewers blacklisting computer-controlling AI agents,https://ethglobal.com/showcase/naughty-agents-oyfn2
MemoryNft,Dynamic ERC-6551 MemoryNFTs that evolve and show live updates,https://ethglobal.com/showcase/memorynft-se4yr
OpSwap on Unichain,Options Protocol based JIT Pools on Uniswap via V4 Hooks in Swaps,https://ethglobal.com/showcase/opswap-on-unichain-uwqen
OpenCredentials,OpenCredentials Access uses credentials to gate access to data,https://ethglobal.com/showcase/opencredentials-cmk72
SmoothSwap,The smoothest way to swap. DCA into assets on Base your own speed. | + walrus-powered vids on NS.,https://ethglobal.com/showcase/smoothswap-3qmax
ProofPlay,Blockchain poker app with real-time verifiably fair and secret shuffle and deal.,https://ethglobal.com/showcase/proofplay-kcxkk
Flow State,Analytics on the places wallet users are from using the FLow Blockchain.,https://ethglobal.com/showcase/flow-state-z5de7
DAO leaks,Anonymous DAO messaging using ZK proofs to verify voting power while preserving identity.,https://ethglobal.com/showcase/dao-leaks-20r5i
Reverif,Smart contract based receipt verification system on chain built for small inperson fiat transactions,https://ethglobal.com/showcase/reverif-26ojc
snatch.xyz,"Tokenize real items; borrower funds earn yield, lender keeps interest + depreciation.",https://ethglobal.com/showcase/snatch-xyz-p68rr
FREE FLOW,"Free Flow: A 2D multiplayer NYC world blending gaming, social fun & DeFi on Flow blockchain",https://ethglobal.com/showcase/free-flow-u3xg9
EZ ENS Referrer,EZ ENS Referrals allows for dynamic referral link sharing with ENS Metadata attributions,https://ethglobal.com/showcase/ez-ens-referrer-5wo5j
DecentraModels,Decentralized AI model marketplace using Walrus and Dynamic - ending arbitrary censorship of AI,https://ethglobal.com/showcase/decentramodels-sb5ux
stETHer,Uniswap v4 hook implementing dynamic fees and proper rebasing token handling,https://ethglobal.com/showcase/stether-b0moi
Hunganz,A NFT game around bananas and huganzzzzzz,https://ethglobal.com/showcase/hunganz-cr7rz
Block Bazaar,"A decentralized marketplace for on-chain stores, tokens, and products.",https://ethglobal.com/showcase/block-bazaar-dxnej
Schrödinger Rollups,Schrodinger Rollups are forkable rollup contracts for ambiguous oracle states.,https://ethglobal.com/showcase/schrodinger-rollups-zoxwf
GrailFi,"GrailFi makes collectibles liquid by turning them into fractional, tradeable DeFi assets on Flow",https://ethglobal.com/showcase/grailfi-5vniw
ENS Expiration Alert,Project Not Completed and Not Working. Service that notifies when user's ENS domains expire.,https://ethglobal.com/showcase/ens-expiration-alert-y8ynm
crowdstake.fun,Crowdstaking into an interest-bearing engine to fund your group's shared goals.,https://ethglobal.com/showcase/crowdstake-fun-qt9pi
Developers_Dojo,"Developers Dojo - Micro-freelance, settled on-chain, Decentralized Task Marketplace",https://ethglobal.com/showcase/developers-dojo-58do6
Chiliz Staking Vault,staking vault that allows users to deposit Chiliz (CHZ) as collateral to borrow and staking,https://ethglobal.com/showcase/chiliz-staking-vault-23bf4
Founil,Leverages Uniswap v4 Hooks to create a donation and reward mechanism.,https://ethglobal.com/showcase/founil-3popq
MintCondition,Multi-Agent-powered NFT valuations with transparent confidence,https://ethglobal.com/showcase/mintcondition-8kqc4
ProfileMe,ProfileMe: Web3 profiles with on-chain sound login and Fun AI.,https://ethglobal.com/showcase/profileme-ok4fa
Omniagent,AI-powered cross-chain DAO governance and treasury optimization platform.,https://ethglobal.com/showcase/omniagent-mxsn4
Omniagent,AI-powered cross-chain DAO governance and treasury optimization platform.,https://ethglobal.com/showcase/omniagent-mxsn4
biryani-blocks,Biryani Blocks – AI agent for real-time wallet token insights.,https://ethglobal.com/showcase/biryani-blocks-5t2qu
CrossMeter,CrossMeter - Zero code billing infrastructure for web3 - Seriously.,https://ethglobal.com/showcase/crossmeter-w9zay
NOVA - AI Copilot,"NOVA is the AI Copilot that turns human intent into seamless, safe, one-click DeFi.",https://ethglobal.com/showcase/nova-ai-copilot-pnjca
OmniPlanet,A pvp turn based space strategy fighter across multiple chains.,https://ethglobal.com/showcase/omniplanet-17z6b
KataBot,"AI-powered MPC server for NFT, wallets, transfers, and analytics",https://ethglobal.com/showcase/katabot-i7waq
Orphan,here brilliant ideas meet execution power through AI-driven matching and onchain monetization,https://ethglobal.com/showcase/orphan-t7f88
CredChain,Referral-powered credit scores with on/off-chain data; rewards ripple through your network.,https://ethglobal.com/showcase/credchain-rdzq3
